City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
437,ambalavao,-21.8333,46.9333,288.35,94,27,1.73,MG,1715650289
438,al wafrah,28.6392,47.9306,300.12,47,89,4.68,KW,1715650289
439,boende,-0.2167,20.8667,295.62,97,100,1.02,CD,1715650290
440,kingscliff,-28.2667,153.5667,298.02,64,60,5.66,AU,1715650290
441,ixtapa,20.7,-105.2,298.83,78,0,4.12,MX,1715650290
442,pagar alam,-4.0167,103.2667,297.07,94,100,0.62,ID,1715650293
443,luderitz,-26.6481,15.1594,288.6,72,0,2.52,NA,1715650293
444,mayahi,13.9553,7.6712,304.6,26,97,2.33,NE,1715650293
445,hadibu,12.65,54.0333,301.08,70,98,2.03,YE,1715650294
446,pandan,14.0453,124.1694,304.2,65,66,1.83,PH,1715650294
447,severo-yeniseyskiy,60.3725,93.0408,282.36,56,100,4.02,RU,1715650294
448,sisimiut,66.9395,-53.6735,268.26,86,98,5.59,GL,1715650295
449,hinton,53.4001,-117.5857,282.24,83,100,2.12,CA,1715650295
450,cookeville,36.1628,-85.5016,290.36,87,100,2.57,US,1715650165
451,twon-brass,4.3151,6.2418,300.2,83,100,1.06,NG,1715650296
452,ciudad bolivar,8.1222,-63.5497,304.45,44,99,7.49,VE,1715650296
453,klaksvik,62.2266,-6.589,282.66,98,100,5.72,FO,1715650297
454,naracoorte,-36.9579,140.7383,289.15,50,2,0.71,AU,1715650297
455,mahina,-17.5065,-149.489,304.02,62,20,2.06,PF,1715650298
456,bayanhongor,46.7167,100.1167,281.28,52,56,1.54,MN,1715650089
457,aki,33.5,133.9,294.12,52,1,3.17,JP,1715650299
458,sao jose da coroa grande,-8.8978,-35.1478,299.38,83,15,1.5,BR,1715650300
459,ankola,14.6667,74.3,301.75,79,6,1.02,IN,1715650300
460,manta,-0.95,-80.7333,299.03,78,20,4.12,EC,1715650108
461,yerofey pavlovich,53.9667,121.9667,280.48,43,58,7.44,RU,1715650301
462,bastrop,32.7562,-91.8724,296.97,93,75,4.63,US,1715650301
463,attock city,33.7731,72.3741,298.38,35,0,1.72,PK,1715650301
464,pyapon,16.2833,95.6833,305.26,56,100,2.89,MM,1715650302
465,crozon,48.2464,-4.4899,285.36,87,75,7.72,FR,1715650302
466,san marcos,33.1434,-117.1661,295.67,74,20,3.6,US,1715650023
467,manay,7.215,126.5397,303.65,61,25,3.58,PH,1715650303
468,tromso,69.6496,18.957,282.16,76,100,5.66,NO,1715650303
469,uruzgan,32.8333,66.0,292.95,27,94,2.08,AF,1715650303
470,tanah merah,5.8,102.15,303.05,75,32,0.79,MY,1715650304
471,fuerte olimpo,-21.0415,-57.8738,287.29,91,100,3.52,PY,1715650306
472,beyneu,45.3167,55.2,286.96,65,100,4.4,KZ,1715650306
473,villa de soto,-30.8552,-64.9995,280.59,56,89,2.73,AR,1715650307
474,terenozek,45.05,64.9833,297.09,37,99,3.17,KZ,1715650307
475,qashyr,53.0675,76.1036,292.39,40,95,7.16,KZ,1715650308
476,ewo,-0.8725,14.8206,297.92,83,99,1.13,CG,1715650311
477,bastad,56.4269,12.8534,284.74,65,20,3.09,SE,1715650312
478,waddan,29.1614,16.139,295.03,26,0,6.43,LY,1715650312
479,santa elena de uairen,4.6167,-61.1333,293.95,77,9,0.53,VE,1715650313
480,caazapa,-26.15,-56.4,285.44,94,100,3.65,PY,1715650314
481,pizhou,34.3114,117.9503,299.66,36,0,4.9,CN,1715650314
482,axim,4.8699,-2.2405,299.04,89,100,1.72,GH,1715650315
483,daegu,35.8,128.55,294.51,46,0,1.54,KR,1715650206
484,verkhnevilyuysk,63.4453,120.3167,278.58,57,50,2.58,RU,1715650315
485,dryden,49.7833,-92.7503,283.31,57,0,3.6,CA,1715650316
486,santa helena de goias,-17.8136,-50.5969,294.21,57,1,2.06,BR,1715650316
487,sao joaquim,-28.2939,-49.9317,280.3,98,100,2.09,BR,1715650317
488,rawson,-43.3002,-65.1023,279.52,63,100,5.09,AR,1715650317
489,la passe,45.5549,-0.8967,286.47,82,100,6.55,FR,1715650317
490,puerto armuelles,8.2833,-82.8667,300.14,77,100,1.79,PA,1715650318
491,lobito,-12.3481,13.5456,298.28,84,95,2.0,AO,1715650318
492,masaka,-0.3338,31.7341,289.98,92,100,2.39,UG,1715650318
493,montepuez,-13.1256,38.9997,291.44,89,18,3.28,MZ,1715650321
494,tindouf,27.6711,-8.1474,297.4,38,0,5.14,DZ,1715650321
495,horta,38.5333,-28.6333,288.72,72,9,4.47,PT,1715650321
496,aras-asan,8.8908,126.3033,302.5,69,74,1.88,PH,1715650322
497,jilin,43.0,126.0,292.46,43,100,4.87,CN,1715650322
498,khandyga,62.6667,135.6,281.66,32,18,2.33,RU,1715650323
499,mar del plata,-38.0023,-57.5575,282.09,64,100,4.02,AR,1715650204
500,mollendo,-17.0231,-72.0147,290.38,84,62,3.55,PE,1715650323
501,alofi,-19.0595,-169.9187,299.09,89,100,8.23,NU,1715650325
502,miguel esteban,39.5193,-3.1035,287.21,88,11,4.56,ES,1715650325
503,tofol,5.3248,163.0078,302.03,84,75,3.6,FM,1715650327
504,al kharijah,25.4514,30.5464,293.51,29,0,4.51,EG,1715650327
505,kamen'-rybolov,44.7481,132.0403,290.53,53,100,5.97,RU,1715650327
506,prince albert,53.2001,-105.7677,288.12,44,100,6.17,CA,1715650328
507,juli,-16.2167,-69.45,281.06,86,100,1.51,PE,1715650328
508,paracuru,-3.41,-39.0306,302.1,88,32,2.97,BR,1715650328
509,fortuna,40.5982,-124.1573,287.0,87,100,4.12,US,1715650329
510,hilton head island,32.2163,-80.7526,295.92,72,100,3.6,US,1715650148
511,sal rei,16.1833,-22.9167,295.42,80,95,8.07,CV,1715650330
512,stonehaven,56.9637,-2.2118,285.44,96,100,1.72,GB,1715650330
513,sardarshahr,28.4333,74.4833,305.33,13,36,3.07,IN,1715650330
514,burang,30.25,81.1667,274.22,67,65,1.01,CN,1715650331
515,rio grande,-32.035,-52.0986,285.21,71,2,7.1,BR,1715650175
516,belmar,40.1785,-74.0218,289.45,80,0,2.57,US,1715650113
517,bosa,40.2993,8.4983,287.2,66,100,2.31,IT,1715650333
518,sao paulo de olivenca,-3.3783,-68.8725,296.73,98,100,1.16,BR,1715650333
519,marivan,35.5219,46.176,283.73,73,18,1.66,IR,1715650333
520,kargat,55.1956,80.2811,290.97,39,28,7.14,RU,1715650334
521,sandnessjoen,66.0217,12.6316,281.44,82,89,4.87,NO,1715650249
522,kerema,-7.9631,145.7785,301.24,79,100,2.37,PG,1715650334
523,nykvarn,59.8,18.3,283.14,78,92,1.96,SE,1715650335
524,glace bay,46.1969,-59.957,279.14,88,20,4.12,CA,1715650336
525,egersund,58.4513,5.9997,289.87,61,66,8.35,NO,1715650336
526,brigg,53.552,-0.4921,288.14,91,100,5.14,GB,1715650337
527,saudarkrokur,65.7461,-19.6394,273.56,93,86,2.38,IS,1715650337
528,igarka,67.4667,86.5833,273.16,83,100,6.26,RU,1715650338
529,pangkalanbuun,-2.6833,111.6167,297.85,98,100,0.86,ID,1715650338
530,kokopo,-4.352,152.2633,302.8,68,97,5.24,PG,1715650338
531,ayr,55.4627,-4.6339,288.11,94,20,3.6,GB,1715650340
